--------- NEW FILE ------------
Quat:	 0.302	 0.413	 -0.203	 0.835	Accel:	 0.833	 -0.089	 0.581	Gyro:	 0.366	 0.610	 0.061	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101727
Quat:	 0.299	 0.401	 -0.208	 0.841	Accel:	 0.797	 -0.089	 0.567	Gyro:	 0.000	 -1.463	 0.061	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101689
Quat:	 0.299	 0.401	 -0.208	 0.841	Accel:	 0.819	 -0.097	 0.576	Gyro:	 -0.244	 -6.768	 0.305	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101708
Quat:	 0.299	 0.403	 -0.207	 0.840	Accel:	 0.804	 -0.085	 0.568	Gyro:	 0.793	 5.244	 0.061	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101708
Quat:	 0.300	 0.405	 -0.206	 0.839	Accel:	 0.816	 -0.089	 0.578	Gyro:	 -0.183	 -4.878	 0.427	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101727
Quat:	 0.300	 0.406	 -0.205	 0.838	Accel:	 0.823	 -0.089	 0.581	Gyro:	 0.488	 1.951	 0.244	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101704
Quat:	 0.300	 0.407	 -0.205	 0.838	Accel:	 0.806	 -0.091	 0.563	Gyro:	 0.061	 -2.500	 0.427	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101700
uat:	 0.301	 0.408	 -0.205	 0.838	Accel:	 0.820	 -0.088	 0.566	Gyro:	 0.244	 -3.232	 0.305	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101704
†Quat:	 0.301	 0.408	 -0.205	 0.837	Accel:	 0.817	 -0.086	 0.574	Gyro:	 0.549	 2.500	 0.122	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101704
Quat:	 0.301	 0.409	 -0.204	 0.837	Accel:	 0.804	 -0.089	 0.565	Gyro:	 0.549	 1.768	 0.305	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101719
Quat:	 0.301	 0.409	 -0.204	 0.837	Accel:	 0.815	 -0.091	 0.566	Gyro:	 0.366	 -2.256	 0.427	Mag:	 -42.992	 -64.012	 55.316	 Pressure:	 101704
